Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10321857 , ATU61146003 , 1A-Landhotel Schicklberg GmbH... , Kleine und mittlere Unternehmen , Oberösterreich ," Hotels, Gasthöfe und Pensionen ", Zuschuss , Behebung einer beträchtlichen... , ," 291,257.7 EUR ", 11/11/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 09/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10320986 , 387212f , 2 resist GmbH , Kleine und mittlere Unternehmen , Oberösterreich , Einzelhandel mit Datenverarbe... , Bürgschaft , Behebung einer beträchtlichen... ," 200,000 EUR "," 200,000 EUR ", 24/11/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10326827 , 451083h , 21 Consulting GmbH , Kleine und mittlere Unternehmen , Oberösterreich , Unternehmensberatung , Bürgschaft , Behebung einer beträchtlichen... ," 120,000 EUR "," 120,000 EUR ", 22/04/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10325852 , 451070p , 21 Group AG , Kleine und mittlere Unternehmen , Oberösterreich , Werbeagenturen , Bürgschaft , Behebung einer beträchtlichen... ," 190,000 EUR "," 190,000 EUR ", 11/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10323092 , ATU64231824 , 220GRAD ROESTHAUS Macheiner KG , Kleine und mittlere Unternehmen , Salzburg , Einzelhandel mit Nahrungs- un... , Zuschuss , Behebung einer beträchtlichen... , ," 166,061.97 EUR ", 11/11/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 09/05/2021 
Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10323857 , ATU72452115 , 24BAK Betriebs GmbH & Co KG , Kleine und mittlere Unternehmen , Salzburg ," Restaurants, Gaststätten, Imb... ", Zuschuss , Behebung einer beträchtlichen... , ," 140,966.89 EUR ", 19/11/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 09/05/2021 
Österreich, COVID-19; Compensation Scheme... , SA.57291 , TM-10314170 , ATU65992438 , 25hours Hotel Company Wien Gm... , Kleine und mittlere Unternehmen , Wien ," Hotels, Gasthöfe und Pensionen ", Zuschuss , Ausgleich für Schäden aufgrun... , ," 789,967 EUR ", 08/06/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 06/05/2021 
Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10318300 , ATU65992438 , 25hours Hotel Company Wien Gm... , Kleine und mittlere Unternehmen , Wien ," Hotels, Gasthöfe und Pensionen ", Zuschuss , Behebung einer beträchtlichen... , ," 800,000 EUR ", 10/11/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 07/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10335326 , 381909g , 2CforArt GmbH , Kleine und mittlere Unternehmen , Salzburg , Sonstiger Einzelhandel in Ver... , Bürgschaft , Behebung einer beträchtlichen... ," 140,000 EUR "," 140,000 EUR ", 13/07/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19 - Austrian liquidity... en , SA.56840 , TM-10322954 , ATU73274967 , 2Raum Gastro KG , Kleine und mittlere Unternehmen , Oberösterreich , Ausschank von Getränken , Zuschuss , Behebung einer beträchtlichen... , ," 114,968.1 EUR ", 19/11/2020 , COVID-19-Finanzierungsagentur des Bundes GmbH (COFAG) en , 09/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10325952 , 375714x , 360kompany AG , Kleine und mittlere Unternehmen , Wien , Erbringung von sonstigen Dien... , Bürgschaft , Behebung einer beträchtlichen... ," 310,000 EUR "," 310,000 EUR ", 28/05/2020 , Austria Wirtschaftsservice GmbH (AWS) , 09/05/2021 
Österreich, COVID-19: Fourth amendment to... en , SA.61210 , TM-10317031 , 265301z , 3CON Anlagenbau GmbH , nur Großunternehmen , Tirol , Herstellung von Maschinen für... , Bürgschaft , Behebung einer beträchtlichen... ," 500,000 EUR "," 500,000 EUR ", 25/06/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10327140 , 168676d , 3W Handelsgesellschaft mbH. , Kleine und mittlere Unternehmen , Oberösterreich , Großhandel mit sonstigen Masc... , Bürgschaft , Behebung einer beträchtlichen... ," 385,000 EUR "," 385,000 EUR ", 22/04/2020 , Austria Wirtschaftsservice GmbH (AWS) , 10/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10316865 , 195094d , 3er Handels- und Dienstleistu... , Kleine und mittlere Unternehmen , Oberösterreich , Großhandel mit Metall- und Ku... , Bürgschaft , Behebung einer beträchtlichen... ," 250,000 EUR "," 250,000 EUR ", 18/06/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Third amendment of ... en , SA.60599 , TM-10317876 , 195094d , 3er Handels- und Dienstleistu... , Kleine und mittlere Unternehmen , Oberösterreich , Großhandel mit Metall- und Ku... , Bürgschaft , Behebung einer beträchtlichen... ," 225,000 EUR "," 225,000 EUR ", 04/06/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
Österreich, COVID-19: Fourth amendment to... en , SA.61210 , TM-10317295 , 195094d , 3er Handels- und Dienstleistu... , Kleine und mittlere Unternehmen , Oberösterreich , Großhandel mit Metall- und Ku... , Bürgschaft , Behebung einer beträchtlichen... ," 1,575,000 EUR "," 1,575,000 EUR ", 08/06/2020 , Austria Wirtschaftsservice GmbH (AWS) , 07/05/2021 
